;Марка;Цена без НДС, руб./км;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x2,5kl5 690V;488860,3065;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x3x0,5kl5 690V;443619,2163;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x0,5kl5 690V;127395,9179;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x0,75kl5 690V;383299,1058;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x0,5kl5 690V;70216,58822;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x2x1,0kl5 690V;300975,4231;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x2x1,5kl5 690V;810533,0528;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x3x1,5kl5 690V;2358181,795;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 9x2,5kl5 690V;718370,4549;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x1,5kl5 690V;121391,9978;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x3x1,5kl5 690V;905569,821;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x2x1,5kl5 690V;2649568,354;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x3x0,5kl5 690V;862277,9701;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x0,5kl5 690V;91529,11544;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x0,5kl5 690V;265340,6396;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x2,5kl5 690V;412077,3905;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x3x0,75kl5 690V;1278850,47;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x3x2,5kl5 690V;968642,4909;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 19x1,5kl5 690V;932045,2366;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x2x0,75kl5 690V;236487,7423;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x3x2,5kl5 690V;3798353,828;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x2x0,5kl5 690V;1075699,138;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x3x0,75kl5 690V;418080,6473;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x2x1,0kl5 690V;1124156,751;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 17x2,5kl5 690V;1337257,898;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x0,75kl5 690V;178675,5689;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x2,5kl5 690V;639428,9814;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x3x0,75kl5 690V;807217,1031;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x3x1,0kl5 690V;2460316,662;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x0,5kl5 690V;53563,67655;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x0,75kl5 690V;641399,8649;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x0,75kl5 690V;282062,1939;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 9x0,75kl5 690V;256103,9319;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x1,0kl5 690V;922514,8938;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 17x1,5kl5 690V;840435,4402;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x2x1,5kl5 690V;1199389,288;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x2x0,75kl5 690V;763269,2164;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x1,5kl5 690V;312626,5871;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x3x1,5kl5 690V;2071723,549;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x2x2,5kl5 690V;2232083,134;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x2x1,5kl5 690V;1781590,172;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x3x2,5kl5 690V;1448523,561;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x2x2,5kl5 690V;1601813,938;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x2x0,75kl5 690V;131211,9711;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x1,0kl5 690V;291857,1572;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x2x1,0kl5 690V;510873,6321;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x3x0,5kl5 690V;1276928,132;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x3x0,75kl5 690V;182125,2661;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x1,0kl5 690V;360538,7941;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x3x1,5kl5 690V;1771899,671;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 17x1,0kl5 690V;596727,3735;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x0,75kl5 690V;202414,7382;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x3x1,0kl5 690V;842654,3364;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x3x0,75kl5 690V;495239,3534;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x2x1,5kl5 690V;2934232,04;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x2x1,0kl5 690V;1655583,149;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x3x1,5kl5 690V;607329,5878;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x2x0,75kl5 690V;974288,3098;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x1,0kl5 690V;257608,8858;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x2x0,75kl5 690V;656054,8439;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x3x0,5kl5 690V;551305,685;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 19x2,5kl5 690V;1486492,71;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x2x1,5kl5 690V;714613,6593;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x2x0,5kl5 690V;132039,8592;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x2x2,5kl5 690V;499703,9246;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x3x1,5kl5 690V;463603,2115;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x3x1,5kl5 690V;761762,2725;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x3x0,5kl5 690V;129844,2288;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x3x0,5kl5 690V;235001,8039;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x3x1,0kl5 690V;231240,4879;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x0,5kl5 690V;197429,8932;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x0,75kl5 690V;330971,4633;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x0,5kl5 690V;435154,4557;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x3x2,5kl5 690V;4262633,835;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x1,0kl5 690V;826741,0404;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x0,75kl5 690V;75200,76988;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x2x0,5kl5 690V;308864,3129;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x2x0,75kl5 690V;1432662,644;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x2x1,5kl5 690V;1399846,433;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x3x0,5kl5 690V;289278,9314;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x2x1,5kl5 690V;223111,5946;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x2x1,0kl5 690V;2061032,498;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 9x0,5kl5 690V;179629,8095;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x3x0,75kl5 690V;653497,0831;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x3x2,5kl5 690V;498329,8192;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x2,5kl5 690V;562179,669;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x3x2,5kl5 690V;2839151,098;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x2x0,5kl5 690V;95599,9866;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x2,5kl5 690V;256670,9583;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x1,5kl5 690V;692784,3962;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x0,5kl5 690V;533546,3348;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x2x0,5kl5 690V;523550,2344;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x2x2,5kl5 690V;975899,4706;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x1,0kl5 690V;424357,5164;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x2x0,5kl5 690V;1311760,062;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x0,75kl5 690V;714777,527;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x3x1,0kl5 690V;1853949,545;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x2x0,5kl5 690V;451535,0571;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x1,0kl5 690V;124830,1726;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x3x1,5kl5 690V;3515044,422;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x2,5kl5 690V;949684,1305;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x3x0,5kl5 690V;653336,5321;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x2x1,5kl5 690V;1590508,616;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x2x1,0kl5 690V;577910,2292;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x2,5kl5 690V;181624,7204;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x2x0,75kl5 690V;1584044,761;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x3x1,0kl5 690V;1655298,58;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x2x0,75kl5 690V;394189,1572;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x3x1,0kl5 690V;433307,1977;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 17x0,5kl5 690V;316811,8217;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x2,5kl5 690V;1877084,762;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x2x1,0kl5 690V;1853489,561;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x2,5kl5 690V;1107827,497;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x1,5kl5 690V;167840,009;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x1,5kl5 690V;214882,0467;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x3x1,5kl5 690V;1486612,183;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x0,5kl5 690V;143105,1041;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x2x2,5kl5 690V;2858936,733;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x2x0,75kl5 690V;553843,9388;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x3x2,5kl5 690V;1912280,69;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x2x2,5kl5 690V;2540681,573;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x2x1,0kl5 690V;438684,7355;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x2x0,75kl5 690V;1937267,981;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x3x1,0kl5 690V;537080,2015;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x2x1,5kl5 690V;320628,4891;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x2,5kl5 690V;332486,4408;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x0,5kl5 690V;109486,7529;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x3x0,75kl5 690V;959572,9676;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 19x1,0kl5 690V;659849,7196;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x2x1,5kl5 690V;516932,5106;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x1,0kl5 690V;92166,8973;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x1,5kl5 690V;405872,2349;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x1,5kl5 690V;264853,8764;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x3x0,5kl5 690V;760315,1513;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x2x2,5kl5 690V;1909477,963;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x2x0,75kl5 690V;184253,8262;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x2x2,5kl5 690V;659546,2573;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x1,0kl5 690V;1019184,049;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x2x1,5kl5 690V;618696,5507;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x3x0,5kl5 690V;183009,9305;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x0,75kl5 690V;961611,4127;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x2x1,0kl5 690V;991369,4394;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 9x1,5kl5 690V;455556,08;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x2x0,75kl5 690V;290672,5437;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x2x2,5kl5 690V;343094,5023;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x3x1,5kl5 690V;318883,6054;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x0,5kl5 690V;653829,9777;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x2x1,5kl5 690V;2363848,521;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x0,75kl5 690V;788907,015;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 19x0,75kl5 690V;508072,109;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x3x2,5kl5 690V;3323754,997;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x3x0,75kl5 690V;337862,652;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x2x2,5kl5 690V;1291712,314;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x3x1,0kl5 690V;1456225,268;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x2x1,0kl5 690V;371214,8349;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x3x2,5kl5 690V;2377037,879;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x0,75kl5 690V;228694,5935;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 6x0,5kl5 690V;132440,6348;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 19x2,5kl5 690V;1495422,319;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 2x3x1,0kl5 690V;237359,9999;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 14x3x0,5kl5 690V;771120,935;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 8x1,0kl5 690V;298108,2301;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 4x2x2,5kl5 690V;668952,0164;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 16x2x1,5kl5 690V;1605372,446;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 9x2,5kl5 690V;725486,9064;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 7x1,0kl5 690V;263443,9756;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 10x3x1,5kl5 690V;1499245,816;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 4x1,5kl5 690V;220162,3695;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 2x2x1,0kl5 690V;170440,051;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 7x2x0,5kl5 690V;281346,581;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 4x3x0,5kl5 690V;241289,0162;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 19x1,0kl5 690V;668998,5725;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 4x2x1,5kl5 690V;424265,4115;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 5x1,0kl5 690V;198281,5383;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 2x0,5kl5 690V;56672,98593;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 5x1,5kl5 690V;270543,3278;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 30x0,5kl5 690V;541348,2789;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 16x3x0,5kl5 690V;873485,3155;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 14x2x1,5kl5 690V;1414314,525;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 24x1,5kl5 690V;1180296,148;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 14x1,0kl5 690V;499780,1096;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 12x2x2,5kl5 690V;1923855,424;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 10x3x2,5kl5 690V;2389580,439;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 10x3x0,75kl5 690V;817469,2744;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 3x1,5kl5 690V;172874,088;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 3x0,5kl5 690V;73409,35464;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 27x2x1,0kl5 690V;1871166,707;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 6x0,75kl5 690V;184075,2669;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 2x2x0,5kl5 690V;100593,9708;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 18x3x0,5kl5 690V;975854,8799;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 10x1,0kl5 690V;367621,2437;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 6x2,5kl5 690V;495303,0087;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 5x3x2,5kl5 690V;1219134,68;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 16x3x1,5kl5 690V;2371921,252;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 2x3x2,5kl5 690V;504946,0443;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 24x2x1,0kl5 690V;1672737,688;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 6x3x0,5kl5 690V;348151,8471;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 7x2x2,5kl5 690V;1150208,592;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 16x2x2,5kl5 690V;2555854,467;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 30x1,0kl5 690V;1029708,924;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 9x1,0kl5 690V;333331,1578;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 37x2x0,75kl5 690V;1954573,071;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 7x0,5kl5 690V;148093,4868;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 18x2x0,75kl5 690V;988579,4632;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 12x0,5kl5 690V;235977,7871;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 37x1,0kl5 690V;1263475,578;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 24x3x0,5kl5 690V;1291461,353;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 3x2x1,5kl5 690V;327449,6348;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 10x2x2,5kl5 690V;1615693,776;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 6x2x0,75kl5 690V;350143,8344;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 4x2x0,75kl5 690V;243071,7098;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 17x0,75kl5 690V;466971,1222;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 24x2x2,5kl5 690V;3805733,598;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 19x1,5kl5 690V;940906,0312;
15.07.2021;ATOMKIP-KUPOfPng(A)-HF 7x2x1,5kl5 690V;724877,9426;
